65  2
# name epsilon(Kcal/mol)  sigma(Angstrom) 
Br             0.32        3.95559 
C              0.086       3.39967
CA             0.086       3.39967
CB             0.086       3.39967
CC             0.086       3.39967
CK             0.086       3.39967
CM             0.086       3.39967
CN             0.086       3.39967
CQ             0.086       3.39967
CR             0.086       3.39967
CT             0.1094      3.39967
CV             0.086       3.39967
CW             0.086       3.39967
C*             0.086       3.39967
C0             0.45979     3.0524 
F              0.061       3.11815
H              0.0157      1.06908
HC             0.0157      2.64953
H1             0.0157      2.47135
H2             0.0157      2.29317
H3             0.0157      2.11499
HA             0.015       2.59964
H4             0.015       2.51055
H5             0.015       2.42146
HO             0           0  	
HS             0.0157      1.06908
HW             0           0  	
HP             0.0157      1.95998
I              0.4         4.18722
Cl             0.1         4.40104
Na             0.00277     3.3284 
IB             0.1         8.90899
MG             0.894699    1.41225
N              0.17        3.25   
NA             0.17        3.25   
NB             0.17        3.25   
NC             0.17        3.25   
N2             0.17        3.25   
N3             0.17        3.25   
N*             0.17        3.25   
O              0.21        2.95992
OW             0.1521      3.15061
OH             0.2104      3.06647
OS             0.17        3.00001
O2             0.21        2.95992
P              0.2         3.74177
S              0.25        3.56359
SH             0.25        3.56359
CU             0.086       3.39967
K              0.000328    4.73602
Rb             0.00017     5.26699
Cs             8.05999e-05 6.0492  
OW_spc         0.155504    3.16557
HW_spc         0           0  	
Li             0.0183      2.0259 
Zn             0.0125      1.95998
HW_tip4pew     0           0  	
OW_tip4pew     0.16275     3.16435
HW_tip4p       0           0  	
OW_tip4p       0.155       3.15365
HW_tip5p       0           0  	
OW_tip5p       0.16        3.12   
MW             0           0  	
MCH3           0           0      
MNH3           0           0      
