930  2
#  i    j    k  	     	   cth(Kcal/mol)	 th0(Deg.)     
  HW     OW     HW        	   75.00000             109.50000      
  HW     OW     LP        	   50.00000             54.75000       
  OU     U      OU        	   150.00000            180.00000      
  HC     C*     CW        	   35.00000             126.80000      
  HC     C*     CB        	   35.00000             126.80000      
  HC     CS     CW        	   35.00000             126.80000      
  HC     CS     CB        	   35.00000             126.80000      
  HA     CA     CW        	   35.00000             126.90000      
  HC     C=     CW        	   35.00000             122.00000      
  HA     CW     CA        	   35.00000             130.70000      
  HA     CW     C=        	   35.00000             130.70000      
  HA     CW     NA        	   35.00000             121.60000      
  CT     CW     NA        	   70.00000             121.60000      
  C!     CW     NA        	   70.00000             121.60000      
  CT     CW     OS        	   70.00000             121.60000      
  C!     CW     OS        	   70.00000             121.60000      
  CA     CW     NA        	   70.00000             121.60000      
  HA     CW     CV        	   35.00000             130.70000      
  HA     CV     CW        	   35.00000             128.20000      
  HC     CT     CZ        	   35.00000             108.50000      
  CT     CT     CR        	   63.00000             114.00000      
  CT     CT     CZ        	   58.35002             112.70000      
  CT     CZ     CZ        	   150.00000            180.00000      
  CA     CZ     CZ        	   160.00000            180.00000      
  HC     CZ     CZ        	   112.00000            180.00000      
  CA     CA     CZ        	   70.00000             120.00000      
  CA     CA     CR        	   63.00000             120.00000      
  CA     CA     CX        	   85.00000             120.00000      
  CA     CR     NB        	   70.00000             111.00000      
  CT     CZ     NZ        	   150.00000            180.00000      
  N2     CZ     NZ        	   150.00000            180.00000      
  CA     CZ     NZ        	   150.00000            180.00000      
  CT     CX     NA        	   70.00000             121.60000      
  HA     CX     CX        	   35.00000             130.70000      
  CX     CX     NA        	   70.00000             106.30000      
  CX     NA     CR        	   70.00000             109.80000      
  C3     C      N         	   70.00000             116.60000      
  C3     C      O         	   80.00000             120.40000      
  C3     C      O_2       	   80.00000             120.40000      
  C3     C      O_3       	   80.00000             120.40000      
  C3     C_2    O_2       	   80.00000             120.40000      
  C3     C_3    O2        	   70.00000             117.00000      
  CA     C      CA        	   85.00000             120.00000      
  CA     C_2    CA        	   85.00000             120.00000      
