816 1
# name  bond_type 
 opls_001   C	
 opls_002   O	
 opls_003   N	
 opls_004   H	
 opls_005   C2	
 opls_006   CH	
 opls_007   C3	
 opls_008   CH	
 opls_009   C2	
 opls_010   C3	
 opls_011   CD	
 opls_012   N	
 opls_013   H	
 opls_014   CH	
 opls_015   C2	
 opls_016   C2	
 opls_017   C	
 opls_018   O2	
 opls_019   C2	
 opls_020   N3	
 opls_021   H3	
 opls_022   C2	
 opls_023   OH	
 opls_024   HO	
 opls_025   CH	
 opls_026   C	
 opls_027   C2	
 opls_028   C2	
 opls_029   CH	
 opls_030   CH	
 opls_031   C2	
 opls_032   SH	
 opls_033   HS	
 opls_034   C2	
 opls_035   S	
 opls_036   C3	
 opls_037   C2	
 opls_038   S	
 opls_039   C3	
 opls_040   NA	
 opls_041   H	
 opls_042   NB	
 opls_043   CP	
 opls_044   CF	
 opls_045   CC	
 opls_046   NA	
 opls_047   H	
 opls_048   CP	
 opls_049   CG	
 opls_050   CB	
 opls_051   N2	
 opls_052   H3	
 opls_053   CA	
 opls_054   N2	
 opls_055   H3	
 opls_056   C2	
 opls_057   C2	
 opls_058   C	
 opls_059   O	
 opls_060   CH	
 opls_061   C2	
 opls_062   OS	
 opls_063   C3	
 opls_064   CT	
 opls_065   C3	
 opls_066   C4	
 opls_067   C3	
 opls_068   C3	
 opls_069   C3	
 opls_070   C3	
 opls_071   C2	
 opls_072   C9	
 opls_073   CH	
 opls_074   C8	
 opls_075   CD	
 opls_076   CT	
 opls_077   C7	
 opls_078   OH	
 opls_079   HO	
 opls_080   C3	
 opls_081   C2	
 opls_082   SH	
 opls_083   SH	
 opls_084   S	
 opls_085   S	
 opls_086   HS	
 opls_087   HS	
 opls_088   C3	
 opls_089   C2	
 opls_090   C3	
 opls_091   C2	
 opls_092   C3	
 opls_093   C2	
 opls_094   N	
 opls_095   C	
 opls_096   C3	
 opls_097   Ar  
 opls_098   Kr	
 opls_099   Xe	
 opls_101   N3	
 opls_102   N3	
 opls_103   N3	
 opls_104   H3	
 opls_105   H3	
 opls_106   C3	
 opls_107   C3	
 opls_108   OS	
 opls_109   C3	
 opls_110   C2	
 opls_111   OW	
 opls_112   HW	
 opls_113   OW	
 opls_114   HW	
 opls_115   MW	
 opls_116   OW	
 opls_117   HW	
 opls_111   OW	
 opls_112   HW	
 opls_113   OW	
 opls_114   HW	
 opls_115   MW	
 opls_116   OW	
 opls_117   HW	
 opls_118   OW	
 opls_118e  OW  
 opls_119   HW	
 opls_120   OL	
 opls_122   CT	
 opls_123   Cl	
 opls_124   S	
 opls_125   O2	
 opls_126   C3	
 opls_127   NT	
 opls_128   H	
 opls_129   Ne	
 opls_130   He	
 opls_131   C	
 opls_132   C3	
 opls_135   CT	
 opls_136   CT	
 opls_137   CT	
 opls_138   CT	
 opls_139   CT	
 opls_140   HC	
 opls_141   CM	
 opls_142   CM	
 opls_143   CM	
 opls_144   HC	
 opls_145   CA	
 opls_145B  C!	
 opls_146   HA	
 opls_147   CA	
 opls_148   CT	
 opls_149   CT	
 opls_150   C=	
 opls_151   Cl	
 opls_152   CT	
 opls_153   HC	
 opls_154   OH	
 opls_155   HO	
 opls_156   HC	
 opls_157   CT	
 opls_158   CT	
 opls_159   CT	
 opls_160   CT_4
 opls_161   CT	
 opls_162   OH	
 opls_163   HO	
 opls_164   F   
 opls_165   HC  
 opls_166   CA  
 opls_167   OH  
 opls_168   HO  
 opls_169   OH  
 opls_170   HO  
 opls_171   OH  
 opls_172   HO  
 opls_173   CT  
 opls_174   CT  
 opls_175   CT  
 opls_176   HC  
 opls_178   C=  
 opls_179   OS  
 opls_180   OS  
 opls_181   CT  
 opls_182   CT  
 opls_183   CT  
 opls_184   CT  
 opls_185   HC  
 opls_186   OS  
 opls_187   OH  
 opls_188   HO  
 opls_189   CO  
 opls_190   HC  
 opls_191   CO  
 opls_192   HC  
 opls_193   CO  
 opls_194   HC  
 opls_195   CO  
 opls_196   HC  
 opls_197   CO  
 opls_198   CO  
 opls_199   CA  
 opls_200   SH  
 opls_201   SH  
 opls_202   S   
 opls_203   S   
 opls_204   HS  
 opls_205   HS  
 opls_206   CT	
 opls_207   CT	
 opls_208   CT	
 opls_209   CT	
 opls_210   CT	
 opls_211   CT	
 opls_212   CT	
 opls_213   CT 	
 opls_214   CT 	
 opls_215   CT 	
 opls_216   CT  
 opls_217   CT  
 opls_218   CT  
 opls_219   CT  
 opls_220   CT  
 opls_221   CA  
 opls_222   S   
 opls_223   CT  
 opls_223B  CT_2
 opls_224   CT  
 opls_224B  CT_2
 opls_225   CT  
 opls_225B  CT_2
 opls_226   Cl  
 opls_227   CM  
 opls_228   CA  
 opls_229   CT  
 opls_230   CT  
 opls_231   C   
 opls_232   C_2 
 opls_233   C_2 
 opls_234   C   
 opls_235   C   
 opls_236   O   
 opls_237   N   
 opls_238   N   
 opls_239   N   
 opls_240   H   
 opls_241   H   
 opls_242   CT  
 opls_243   CT  
 opls_244   CT  
 opls_245   CT_3
 opls_246   CT_2
 opls_247   C   
 opls_248   O   
 opls_249   N   
 opls_250   H   
 opls_251   N   
 opls_252   C   
 opls_253   O   
 opls_254   H   
 opls_255   HC  
 opls_256   CT  
 opls_257   CT  
 opls_258   CT  
 opls_259   CT  
 opls_260   CA  
 opls_261   CZ  
 opls_262   NZ  
 opls_263   CA  
 opls_264   Cl  
 opls_265   N   
 opls_266   CA  
 opls_267   C   
 opls_268   OH  
 opls_269   O_3 
 opls_270   HO  
 opls_271   C_3 
 opls_272   O2  
 opls_273   CT  
 opls_274   CT  
 opls_275   CT  
 opls_276   CT  
 opls_277   C_2 
 opls_278   O_2 
 opls_279   HC  
 opls_280   C_2 
 opls_281   O_2 
 opls_282   HC  
 opls_283   CT_2
 opls_284   CT_2
 opls_285   CT_2
 opls_286   N3  
 opls_287   N3  
 opls_288   N3  
 opls_289   H3  
 opls_290   H3  
 opls_291   CT  
 opls_292   CT  
 opls_292B  CT_2
 opls_293   CT  
 opls_293B  CT_2
 opls_294   CT  
 opls_295   CT_2
 opls_296   CT_3
 opls_297   CT  
 opls_298   CT_2
 opls_299   CT_2
 opls_300   N2  
 opls_301   H3  
 opls_302   CA  
 opls_303   N2  
 opls_304   H3  
 opls_305   CT  
 opls_306   CT  
 opls_307   CT  
 opls_308   CT  
 opls_309   N3  
 opls_310   H3  
 opls_311   NC  
 opls_312   CA  
 opls_313   N2  
 opls_314   H   
 opls_315   CA  
 opls_316   HA  
 opls_317   CA  
 opls_318   HA  
 opls_319   NA  
 opls_319B  N*  
 opls_320   C   
 opls_321   NA  
 opls_322   C   
 opls_323   CM  
 opls_324   CM  
 opls_325   H   
 opls_326   O   
 opls_327   H   
 opls_328   O   
 opls_329   HC  
 opls_330   HC  
 opls_331   CT  
 opls_332   HC  
 opls_333   NA  
 opls_333B  N*  
 opls_334   C   
 opls_335   NC  
 opls_336   CA  
 opls_337   CM  
 opls_338   CM  
 opls_339   H   
 opls_340   O   
 opls_341   N2  
 opls_342   H   
 opls_343   H   
 opls_344   HC  
 opls_345   H4  
 opls_346   NC  
 opls_347   CQ  
 opls_348   NC  
 opls_349   CB  
 opls_350   CB  
 opls_351   CA  
 opls_352   NB  
 opls_353   CK  
 opls_354   NA  
 opls_354B  N*  
 opls_355   H5  
 opls_356   N2  
 opls_357   H   
 opls_358   H   
 opls_359   H5  
 opls_360   H   
 opls_361   NA  
 opls_362   CA  
