300 2
# i    j          kb(Kcal/Angstrom^2.mol)	       b0(Angstrom) 
  OW    HW        600.00000                  	0.95720       
  OW    LP        900.00000                  	0.17500       
  C*    HC        340.00000                  	1.08000       
  C     C3        317.00000                  	1.52200       
  C_2   C3        317.00000                  	1.52200       
  C_3   C3        317.00000                  	1.52200       
  C     CA        400.00000                  	1.49000       
  C_2   CA        400.00000                  	1.49000       
  C_3   CA        400.00000                  	1.49000       
  C     CB        447.00000                  	1.41900       
  C_2   CB        447.00000                  	1.41900       
  C_3   CB        447.00000                  	1.41900       
  C     CM        410.00000                  	1.44400       
  C_2   CM        410.00000                  	1.44400       
  C_3   CM        410.00000                  	1.44400       
  C     CS        400.00000                  	1.49000       
  C_2   CS        400.00000                  	1.49000       
  C_3   CS        400.00000                  	1.49000       
  C     CT        317.00000                  	1.52200       
  C_2   CT        317.00000                  	1.52200       
  C_3   CT        317.00000                  	1.52200       
  C     CT_2      317.00000                  	1.52200       
  C_3   CT_2      317.00000                  	1.52200       
  C     N         490.00000                  	1.33500       
  C_2   N         490.00000                  	1.33500       
  C_3   N         490.00000                  	1.33500       
  C     N*        424.00000                  	1.38300       
  C_2   N*        424.00000                  	1.38300       
  C_3   N*        424.00000                  	1.38300       
  C     NA        418.00000                  	1.38800       
  C_2   NA        418.00000                  	1.38800       
  C_3   NA        418.00000                  	1.38800       
  C     NC        457.00000                  	1.35800       
  C_2   NC        457.00000                  	1.35800       
  C_3   NC        457.00000                  	1.35800       
  C     O         570.00000                  	1.22900       
  C     O_2       570.00000                  	1.22900       
  C     O_3       570.00000                  	1.22900       
  C_2   O_2       570.00000                  	1.22900       
  C     O2        656.00000                  	1.25000       
  C_3   O2        656.00000                  	1.25000       
  C     OH        450.00000                  	1.36400       
  NO    ON        550.00000                  	1.22500       
  CT    NO        375.00000                  	1.49000       
  CA    NO        400.00000                  	1.46000       
  CA    OH        450.00000                  	1.36400       
  CA    OS        450.00000                  	1.36400       
  CB    OS        340.00000                  	1.36000       
  CM    OS        450.00000                  	1.37000       
  CM    OH        450.00000                  	1.37000       
  CA    O         450.00000                  	1.36400       
  CA    O_2       450.00000                  	1.36400       
  C     OS        214.00000                  	1.32700       
  C_2   OS        214.00000                  	1.32700       
  C*    CB        388.00000                  	1.45900       
  C*    CT        317.00000                  	1.49500       
  CU    CT        317.00000                  	1.51000       
  CR    CT        317.00000                  	1.51000       
  CS    CT        317.00000                  	1.49500       
  C*    CW        546.00000                  	1.35200       
  CA    CR        546.00000                  	1.36700       
  CA    CS        469.00000                  	1.42400       
  CA    CW        546.00000                  	1.36700       
  CQ    O         450.00000                  	1.36400       
  CQ    O_2       450.00000                  	1.36400       
  CS    CW        546.00000                  	1.36700       
  CS    CS        469.00000                  	1.42400       
  CS    CB        469.00000                  	1.42400       
  CS    HA        367.00000                  	1.08000       
  CU    NB        410.00000                  	1.32000       
  CU    CA        469.00000                  	1.42100       
  CU    HA        367.00000                  	1.08000       
  NA    NB        400.00000                  	1.34900       
  OS    NB        462.00000                  	1.39900       
  OS    CR        462.00000                  	1.35700       
  C3    C3        260.00000                  	1.52600       
  C3    NT        382.00000                  	1.44800       
  CT    NT        382.00000                  	1.44800       
  NT    NT        350.00000                  	1.44500       
  CO    OS        320.00000                  	1.38000       
  CO    C3        260.00000                  	1.52600       
  CW    OS        340.00000                  	1.36000       
  C3    CM        317.00000                  	1.51000       
  C3    N         337.00000                  	1.44900       
  C3    N*        337.00000                  	1.47500       
  C3    N2        337.00000                  	1.46300       
  C3    N3        367.00000                  	1.47100       
  C3    OH        386.00000                  	1.42500       
  C3    OS        320.00000                  	1.42500       
  C3    S         222.00000                  	1.81000       
  C3    SH        222.00000                  	1.81000       
  CA    CA        469.00000                  	1.40000       
  CA    C!        469.00000                  	1.40000       
  C!    C!        385.00000                  	1.46000       
  C!    CS        385.00000                  	1.46000       
  C!    CU        385.00000                  	1.46000       
  C!    CV        385.00000                  	1.46000       
  C!    CW        385.00000                  	1.46000       
  C!    CR        385.00000                  	1.46000       
  C!    C         385.00000                  	1.46000       
  C!    C_2       385.00000                  	1.46000       
  C!    C_3       385.00000                  	1.46000       
  C!    CM        385.00000                  	1.46000       
  C!    NA        385.00000                  	1.44000       
  CA    CB        469.00000                  	1.40400       
  CA    CM        427.00000                  	1.43300       
  CA    CN        469.00000                  	1.40000       
  CA    CT        317.00000                  	1.51000       
  CA    CY        317.00000                  	1.49000       
  CW    CT        317.00000                  	1.50400       
  CV    CT        317.00000                  	1.50400       
  CX    CT        317.00000                  	1.50400       
  CX    CA        317.00000                  	1.50400       
  CX    CX        520.00000                  	1.37000       
  CX    NA        427.00000                  	1.38100       
  CX    HA        367.00000                  	1.08000       
  CA    NY        382.00000                  	1.38500       
  CA    NZ        500.00000                  	1.26100       
  NY    H         434.00000                  	1.01000       
  NY    H3        434.00000                  	1.01000       
  NZ    H         434.00000                  	1.01000       
  NZ    H3        434.00000                  	1.01000       
  CT    NY        382.00000                  	1.44800       
  CA    N2        481.00000                  	1.34000       
  CQ    N2        481.00000                  	1.34000       
  CR    N2        481.00000                  	1.34000       
  CA    NT        481.00000                  	1.34000       
  CA    NA        427.00000                  	1.38100       
  CQ    N         427.00000                  	1.38100       
  CA    NC        483.00000                  	1.33900       
  C!    NC        483.00000                  	1.33900       
  NC    NC        500.00000                  	1.32000       
  NC    NZ        550.00000                  	1.24000       
  NZ    NZ        550.00000                  	1.12000       
  CA    HA        367.00000                  	1.08000       
  CB    CB        520.00000                  	1.37000       
  CR    CS        520.00000                  	1.37000       
  CV    CW        520.00000                  	1.37000       
  CB    CN        447.00000                  	1.41900       
  CB    N*        436.00000                  	1.37400       
  CB    NA        436.00000                  	1.37400       
  CB    NB        414.00000                  	1.39100       
  CB    NC        461.00000                  	1.35400       
  CR    NC        461.00000                  	1.35400       
  CW    CW        512.00000                  	1.37500       
  CK    HA        340.00000                  	1.08000       
  CK    H5        367.00000                  	1.08000       
  CK    N*        440.00000                  	1.37100       
  CK    NA        440.00000                  	1.37100       
  CK    NB        529.00000                  	1.30400       
  CM    CM        549.00000                  	1.34000       
  CM    C=        549.00000                  	1.34000       
  CW    C=        549.00000                  	1.36500       
  C=    C=        385.00000                  	1.46000       
  C     C         350.00000                  	1.51000       
  C     C_2       350.00000                  	1.51000       
  C     C_3       350.00000                  	1.51000       
  C=    C         385.00000                  	1.46000       
  C=    C_2       385.00000                  	1.46000       
  C=    C_3       385.00000                  	1.46000       
  CT    C+        532.79995                  	1.46000       
  C+    HC        532.79995                  	1.08400       
  CM    CT        317.00000                  	1.51000       
  C=    CT        317.00000                  	1.51000       
  CM    HC        340.00000                  	1.08000       
  CM    H4        367.00000                  	1.08000       
  C=    HC        340.00000                  	1.08000       
  HC    C         340.00000                  	1.09000       
  HC    C_2       340.00000                  	1.09000       
  HC    C_3       340.00000                  	1.09000       
  CT    CZ        390.00000                  	1.47000       
  CA    CZ        400.00000                  	1.45100       
  CY    CZ        400.00000                  	1.45100       
  CZ    NZ        650.00000                  	1.15700       
  CZ    CZ        1150.00000                 	1.21000       
  HC    CZ        420.00000                  	1.08000       
  CM    N*        448.00000                  	1.36500       
  CM    NA        448.00000                  	1.36500       
  CN    NA        428.00000                  	1.38000       
  CQ    HA        367.00000                  	1.08000       
  CQ    H5        367.00000                  	1.08000       
  CQ    NC        502.00000                  	1.32400       
  CR    HA        367.00000                  	1.08000       
  CR    H5        367.00000                  	1.08000       
  CR    NA        477.00000                  	1.34300       
  CR    NB        488.00000                  	1.33500       
  CT    CT        268.00000                  	1.52900       
  CT    CT_2      268.00000                  	1.52900       
  CT    CT_3      268.00000                  	1.52900       
  CT    CT_4      268.00000                  	1.52900       
  CT    HC        340.00000                  	1.09000       
  CT_2  HC        340.00000                  	1.09000       
  CT_3  HC        340.00000                  	1.09000       
  CT_4  HC        340.00000                  	1.09000       
  CT_3  N         337.00000                  	1.44900       
  CT_3  NT        337.00000                  	1.44900       
  CT    N         337.00000                  	1.44900       
  CT_2  N         337.00000                  	1.44900       
  CT_2  NT        382.00000                  	1.44800       
  CT    NC        337.00000                  	1.44900       
  CY    N         337.00000                  	1.44900       
  CT    N*        337.00000                  	1.47500       
  CT    NA        337.00000                  	1.47500       
  CT    N2        337.00000                  	1.46300       
  CT    N3        367.00000                  	1.47100       
  CT_2  N3        367.00000                  	1.47100       
  CT_3  N3        367.00000                  	1.47100       
  CT    OH        320.00000                  	1.41000       
  CT_4  OH        320.00000                  	1.41000       
  NT    OH        320.00000                  	1.45000       
  NT    OS        320.00000                  	1.45000       
  N     OH        400.00000                  	1.38000       
  CT    OS        320.00000                  	1.41000       
  CT    S         222.00000                  	1.81000       
  CY    S         222.00000                  	1.81000       
  CR    S         250.00000                  	1.76000       
  CW    S         250.00000                  	1.74000       
  CA    SH        250.00000                  	1.74000       
  CT    SH        222.00000                  	1.81000       
  CT    Cl        245.00000                  	1.78100       
  CA    Cl        300.00000                  	1.72500       
  CM    Cl        300.00000                  	1.72500       
  C     Cl        300.00000                  	1.79000       
  C_2   Cl        300.00000                  	1.79000       
  C_3   Cl        300.00000                  	1.79000       
  CZ    Cl        330.00000                  	1.63700       
  CT    Br        245.00000                  	1.94500       
  CA    Br        300.00000                  	1.87000       
  CM    Br        300.00000                  	1.90000       
  C     Br        300.00000                  	1.98000       
  C_2   Br        300.00000                  	1.98000       
  C_3   Br        300.00000                  	1.98000       
  CZ    Br        330.00000                  	1.78400       
  CA    I         275.00000                  	2.08000       
  CV    HA        367.00000                  	1.08000       
  CV    H4        367.00000                  	1.08000       
  CV    NB        410.00000                  	1.39400       
  CW    NB        410.00000                  	1.39400       
  CW    H4        367.00000                  	1.08000       
  CW    HA        367.00000                  	1.08000       
  CW    NA        427.00000                  	1.38100       
  CW    N         427.00000                  	1.38100       
  CY    CY        260.00000                  	1.50900       
  CY    CT        280.00000                  	1.51000       
  CY    HC        340.00000                  	1.08800       
  H     N         434.00000                  	1.01000       
  H     N3        434.00000                  	1.01000       
  H     N*        434.00000                  	1.01000       
  H     N2        434.00000                  	1.01000       
  H     NA        434.00000                  	1.01000       
  H     NT        434.00000                  	1.01000       
  H3    N2        434.00000                  	1.01000       
  H3    N3        434.00000                  	1.01000       
  HO    OH        553.00000                  	0.94500       
  HO    OS        553.00000                  	0.94500       
  HS    SH        274.00000                  	1.33600       
  LP    S         600.00000                  	0.67900       
  LP    SH        600.00000                  	0.67900       
  O2    P         525.00000                  	1.48000       
  O     P         525.00000                  	1.48000       
  OH    P         230.00000                  	1.61000       
  OS    P         230.00000                  	1.61000       
  CT    P         212.00000                  	1.84300       
  CA    P         220.00000                  	1.78000       
  CT    P+        212.00000                  	1.82000       
  S     S         166.00000                  	2.03800       
  CT    C3        260.00000                  	1.52600       
  CA    NB        414.00000                  	1.39100       
  CA    N         427.00000                  	1.38100       
  CB    CT        317.00000                  	1.51000       
  CT    F         367.00000                  	1.33200       
  CA    F         420.00000                  	1.35400       
  CM    F         420.00000                  	1.34000       
  CZ    F         450.00000                  	1.27900       
  C     F         420.00000                  	1.35700       
  C_2   F         420.00000                  	1.35700       
  C_3   F         420.00000                  	1.35700       
  CT    CO        268.00000                  	1.52900       
  OH    CO        320.00000                  	1.38000       
  HC    CO        340.00000                  	1.09000       
  SY    C3        222.00000                  	1.81000       
  SY    CA        340.00000                  	1.77000       
  SY    OY        700.00000                  	1.44000       
  SZ    OY        700.00000                  	1.53000       
  SY    N         434.00000                  	1.67000       
  SY    CT        340.00000                  	1.77000       
  SZ    CT        340.00000                  	1.79000       
  U     OU        500.00000                  	1.80000       
  CA    S         250.00000                  	1.76000       
  CM    S         250.00000                  	1.76000       
  CM    CY        317.00000                  	1.51000       
  CY    NT        382.00000                  	1.44800       
  SY    NT        340.00000                  	1.77000       
  C     NT        317.00000                  	1.52200       
  C_2   NT        317.00000                  	1.52200       
  C_3   NT        317.00000                  	1.52200       
  C     CW        400.00000                  	1.49000       
  C_2   CW        400.00000                  	1.49000       
  C_3   CW        400.00000                  	1.49000       
  O2     S        478.01147                  	1.53000       
