820 1
# name         charge(e)
 opls_001      0.500       
 opls_002     -0.500       
 opls_003     -0.570       
 opls_004      0.370       
 opls_005      0.200       
 opls_006      0.200       
 opls_007      0.000       
 opls_008      0.000       
 opls_009      0.000       
 opls_010      0.000       
 opls_011      0.000       
 opls_012     -0.850       
 opls_013      0.425       
 opls_014      0.285       
 opls_015      0.285       
 opls_016     -0.100       
 opls_017      0.700       
 opls_018     -0.800       
 opls_019      0.310       
 opls_020     -0.300       
 opls_021      0.330       
 opls_022      0.265       
 opls_023     -0.700       
 opls_024      0.435       
 opls_025      0.265       
 opls_026      0.265       
 opls_027      0.310       
 opls_028      0.100       
 opls_029      0.310       
 opls_030      0.100       
 opls_031      0.180       
 opls_032     -0.450       
 opls_033     0.270        
 opls_034     0.235        
 opls_035      -0.470      
 opls_036     0.235        
 opls_037     0.300        
 opls_038      -0.300      
 opls_039     0.200        
 opls_040    -0.570        
 opls_041      0.420       
 opls_042    -0.490        
 opls_043     0.410        
 opls_044     0.100        
 opls_045     0.130        
 opls_046    -0.540        
 opls_047      0.460       
 opls_048     0.500        
 opls_049     0.330        
 opls_050    -0.055        
 opls_051    -0.800        
 opls_052     0.460        
 opls_053     0.640        
 opls_054    -0.700        
 opls_055     0.440        
 opls_056     0.310        
 opls_057     0.070        
 opls_058      0.550       
 opls_059     -0.450       
 opls_060     0.250        
 opls_061     0.250        
 opls_062    -0.400        
 opls_063     0.250        
 opls_064     0.200        
 opls_065     0.000        
 opls_066     0.000        
 opls_067     0.000        
 opls_068     0.000        
 opls_069     0.000        
 opls_070     0.000        
 opls_071     0.000        
 opls_072     0.000        
 opls_073     0.000        
 opls_074     0.000        
 opls_075     0.000        
 opls_076     0.000        
 opls_077     0.000        
 opls_078    -0.700        
 opls_079     0.435        
 opls_080     0.265        
 opls_081     0.265        
 opls_082     -0.470       
 opls_083     -0.450       
 opls_084      -0.470      
 opls_085      -0.300      
 opls_086     0.235        
 opls_087     0.270        
 opls_088     0.180        
 opls_089     0.180        
 opls_090     0.235        
 opls_091     0.235        
 opls_092     0.300        
 opls_093     0.300        
 opls_094     -0.430       
 opls_095      0.280       
 opls_096     0.150        
 opls_097    0.000         
 opls_098    0.000         
 opls_099      0.000       
 opls_101    -0.400        
 opls_102    -0.300        
 opls_103     0.000        
 opls_104     0.350        
 opls_105     0.330        
 opls_106     0.310        
 opls_107     0.250        
 opls_108    -0.500        
 opls_109     0.250        
 opls_110     0.250        
 opls_111    -0.834        
 opls_112     0.417        
 opls_113     0.000        
 opls_114     0.520        
 opls_115    -1.040        
 opls_116    -0.820        
 opls_117     0.410        
 opls_111    -0.834        
 opls_112     0.417        
 opls_113     0.000        
 opls_114     0.520        
 opls_115    -1.040        
 opls_116    -0.820        
 opls_117     0.410        
 opls_118     0.000        
 opls_118e    0.000        
 opls_119     0.000        
 opls_120     0.000        
 opls_122     0.248        
 opls_123     -0.062       
 opls_124       0.139      
 opls_125    -0.459        
 opls_126     0.160        
 opls_127    -1.020        
 opls_128      0.340       
 opls_129      0.000       
 opls_130     0.000        
 opls_131      0.500       
 opls_132     0.285        
 opls_135    -0.180        
 opls_136    -0.120        
 opls_137    -0.060        
 opls_138    -0.240        
 opls_139     0.000        
 opls_140     0.060        
 opls_141     0.000        
 opls_142    -0.115        
 opls_143    -0.230        
 opls_144     0.115        
 opls_145    -0.115        
 opls_145B   -0.115        
 opls_146     0.115        
 opls_147     0.000        
 opls_148    -0.065        
 opls_149    -0.005        
 opls_150    -0.115        
 opls_151     -0.200       
 opls_152    -0.006        
 opls_153     0.103        
 opls_154      -0.683      
 opls_155       0.418      
 opls_156       0.040      
 opls_157       0.145      
 opls_158       0.205      
 opls_159       0.265      
 opls_160     0.126        
 opls_161       0.532      
 opls_162      -0.635      
 opls_163       0.429      
 opls_164       -0.206     
 opls_165    0.083         
 opls_166    0.150         
 opls_167   0.585          
 opls_168   0.435          
 opls_169   0.700          
 opls_170   0.435          
 opls_171   0.730          
 opls_172   0.465          
 opls_173   0.145          
 opls_174   0.205          
 opls_175   0.265          
 opls_176   0.060          
 opls_178   0.000          
 opls_179   0.285          
 opls_180   0.400          
 opls_181   0.110          
 opls_182   0.140          
 opls_183   0.170          
 opls_184   0.200          
 opls_185   0.030          
 opls_186   0.400          
 opls_187   0.700          
 opls_188   0.435          
 opls_189   0.200          
 opls_190   0.100          
 opls_191   0.265          
 opls_192   0.100          
 opls_193   0.300          
 opls_194   0.100          
 opls_195   0.365          
 opls_196   0.100          
 opls_197   0.400          
 opls_198   0.465          
 opls_199   0.085          
 opls_200   -0.335         
 opls_201   0.470          
 opls_202   -0.335         
 opls_203   -0.217         
 opls_204   0.155          
 opls_205   0.235          
 opls_206     0.060        
 opls_207     0.120        
 opls_208     0.180        
 opls_209    -0.013        
 opls_210     0.048        
 opls_211     0.107        
 opls_212     0.168        
 opls_213     0.037        
 opls_214     0.098        
 opls_215     0.158        
 opls_216     0.217        
 opls_217     0.000        
 opls_218     0.200        
 opls_219     0.260        
 opls_220     0.320        
 opls_221    -0.055        
 opls_222    -0.320        
 opls_223    0.080         
 opls_223B  0.080          
 opls_224   0.140          
 opls_224B  0.140          
 opls_225   0.200          
 opls_225B  0.200          
 opls_226   -0.120         
 opls_227   0.005          
 opls_228   0.102          
 opls_229   0.140          
 opls_230   0.200          
 opls_231   0.700          
 opls_232   0.565          
 opls_233   0.585          
 opls_234   0.615          
 opls_235   0.500          
 opls_236   0.500          
 opls_237   0.760          
 opls_238   0.500          
 opls_239   0.140          
 opls_240   0.380          
 opls_241   0.300          
 opls_242   0.020          
 opls_243   0.110          
 opls_244   0.080          
 opls_245   0.050          
 opls_246   0.010          
 opls_247   0.142          
 opls_248   0.390          
 opls_249   0.542          
 opls_250   0.333          
 opls_251   0.490          
 opls_252   0.420          
 opls_253   0.420          
 opls_254   0.370          
 opls_255   0.060          
 opls_256   0.120          
 opls_257   0.060          
 opls_258   0.000          
 opls_259   0.060          
 opls_260   0.035          
 opls_261   0.395          
 opls_262   0.430          
 opls_263   0.180          
 opls_264   -0.180         
 opls_265   0.385          
 opls_266   0.085          
 opls_267   0.520          
 opls_268   0.530          
 opls_269   0.440          
 opls_270   0.450          
 opls_271   0.700          
 opls_272   0.800          
 opls_273   0.280          
 opls_274   0.220          
 opls_275   0.160          
 opls_276   0.100          
 opls_277   0.450          
 opls_278   0.450          
 opls_279   0.000          
 opls_280   0.470          
 opls_281   0.470          
 opls_282   0.060          
 opls_283   0.040          
 opls_284   0.020          
 opls_285   0.090          
 opls_286   0.400          
 opls_287   0.300          
 opls_288   0.000          
 opls_289   0.350          
 opls_290   0.330          
 opls_291   0.130          
 opls_292   0.190          
 opls_292B  0.190          
 opls_293   0.250          
 opls_293B  0.250          
 opls_294   0.310          
 opls_295   0.120          
 opls_296   0.170          
 opls_297   0.110          
 opls_298   0.090          
 opls_299   0.150          
 opls_300   0.800          
 opls_301   0.460          
 opls_302   0.640          
 opls_303   0.700          
 opls_304   0.440          
 opls_305   0.200          
 opls_306   0.110          
 opls_307   0.190          
 opls_308   0.050          
 opls_309   0.200          
 opls_310   0.310          
 opls_311   0.460          
 opls_312   0.360          
 opls_313   0.850          
 opls_314   0.370          
 opls_315   0.150          
 opls_316   0.100          
 opls_317   0.040          
 opls_318   0.100          
 opls_319   0.600          
 opls_319B  0.600          
 opls_320   0.500          
 opls_321   0.510          
 opls_322   0.450          
 opls_323   0.070          
 opls_324   0.080          
 opls_325   0.410          
 opls_326   0.400          
 opls_327   0.360          
 opls_328   0.420          
 opls_329   0.100          
 opls_330   0.100          
 opls_331   0.140          
 opls_332   0.080          
 opls_333   0.560          
 opls_333B  0.560          
 opls_334   0.550          
 opls_335   0.540          
 opls_336   0.460          
 opls_337   0.060          
 opls_338   0.100          
 opls_339   0.380          
 opls_340   0.480          
 opls_341   0.790          
 opls_342   0.385          
 opls_343   0.355          
 opls_344   0.100          
 opls_345   0.100          
 opls_346   0.530          
 opls_347   0.220          
 opls_348   0.550          
 opls_349   0.380          
 opls_350   0.150          
 opls_351   0.440          
 opls_352   0.490          
 opls_353   0.200          
 opls_354   0.500          
 opls_354B  0.500          
 opls_355   0.200          
 opls_356   0.810          
 opls_357   0.385          
 opls_358   0.355          
 opls_359   0.200          
 opls_360   0.350          
 opls_361   0.560          
 opls_362   0.460          
 opls_363   0.510          
 opls_364   0.340          
 opls_365   0.120          
