1048  4
#  i     j       k     l                  coefficients(Kcal/mol) 
  Br     C      CB     CT       	  0.0000000000  	0.0000000000      0.0000000000       0.00000   
  Br     C      CT     HC       	  0.0000000000  	0.0000000000      0.3600000000       0.00000   
  Br     CT     CT     Br       	  -0.2500000000  	0.0000000000      0.0000000000       0.00000   
  Br     CT     CT     CT       	  0.0000000000  	0.0000000000      0.4000000000       0.00000   
  Br     CT     CT     HC       	  0.0000000000  	0.0000000000      0.4000000000       0.00000   
  C      C      N      H        	  0.0000000000  	4.9000000000      0.0000000000       0.00000   
  C      C      N      CT       	  0.4000000000  	4.9000000000      0.0000000000       0.00000   
  C      C      CT     HC       	  0.0000000000  	0.0000000000      0.0850000000       0.00000   
  C      C      OH     HO       	  3.0000000000  	5.5000000000      0.0000000000       0.00000   
  C      N      C      N        	  2.3000000000  	6.0890009560      0.0000000000       0.00000   
  C      N      CT     CA       	   -1.3960038241  	-0.4269980880      0.0000000000      0.00000   
  C      N      CT     CT       	   -1.3960038241  	-0.4269980880      0.0000000000      0.00000   
  C      N      CT     HC       	   0.0000035851  	0.0000000000      -0.1389997610      0.00000   
  C      N      CY     CY       	   -1.3960038241  	-0.4269980880      0.0000000000      0.00000   
  C      N      CY     HC       	   0.0000000000  	0.0000000000      0.0000000000       0.00000   
  C      N      OH     HO       	   5.5189997610  	-6.7000000000      0.5810002390      0.00000   
  C      N      CT_3   CT       	   0.5190021511  	0.8769980880      5.2330007170       0.00000   
  C      N      CT_3   HC       	   0.0000000000  	0.0000000000      0.0000000000       0.00000   
  C      N      CT_2   CT       	   0.5190021511  	0.8769980880      5.2330007170       0.00000   
  C      N      CT_2   HC       	   0.0000000000  	0.0000000000      0.0000000000       0.00000   
  C      CT     N      C        	   -0.5960002390  	0.2790009560      -4.9130007170      0.00000   
  C_3    CT     N      C        	   -0.5960002390  	0.2790009560      -4.9130007170      0.00000   
  C      CT     N      CT       	   -1.7369980880  	1.2510014340      -3.5009990440      0.00000   
  C      CT     CT     C*       	   -1.6970028681  	-0.4559990440      0.5850000000      0.00000   
  C      CT     CT     CA       	   -1.6970028681  	-0.4559990440      0.5850000000      0.00000   
  C      CT     CT     CT       	   -2.0600000000  	-0.3129995220      0.3150000000      0.00000   
  C      CT     CT     HC       	   0.0000000000  	0.0000000000      -0.1000000000      0.00000   
  C      CT     CT_2   HC       	   0.0000047801  	0.0000000000      -0.0759990440      0.00000   
  C_3    CT     CT_2   HC       	   0.0000047801  	0.0000000000      -0.0759990440      0.00000   
  C      CT     CT_2   C        	   -1.6970028681  	-0.4559990440      0.5850000000      0.00000   
  C      CT     NT     H        	   -0.1900023901  	-0.4170004780      0.4179995220      0.00000   
  C      CT_2   NT     H        	   -0.1900023901  	-0.4170004780      0.4179995220      0.00000   
  C      CT     OH     HO       	   -0.3560050191  	-0.1739985660      0.4919992830      0.00000   
  C      CT     N3     H3       	   0.0000023901  	0.0000000000      0.3470004780       0.00000   
  C      NC     OH     HO       	   3.0000000000  	3.0000000000      0.0000000000       0.00000   
  C      NC     OS     CT       	   3.0000000000  	3.0000000000      0.0000000000       0.00000   
  C      OS     CA     CA       	   0.0000000000  	2.5000000000      0.0000000000       0.00000   
  C      OS     CT     CT       	   -1.2199976099  	-0.1260014340      0.4220004780      0.00000   
  C      OS     CT     HC       	   -0.0000023901  	0.0000000000      0.1979995220       0.00000   
  C      CT_2   N      C        	   -0.5960002390  	0.2790009560      -4.9130007170      0.00000   
  C_3    CT_2   N      C        	   -0.5960002390  	0.2790009560      -4.9130007170      0.00000   
  C      CT_2   N      H        	   0.0000000000  	0.0000000000      0.0000000000       0.00000   
  C      CT_2   N      CT_3     	   -1.7369980880  	1.2510014340      -3.5009990440      0.00000   
  C      CT_2   NT     CT_3     	   -1.7369980880  	1.2510014340      -3.5009990440      0.00000   
  C_3    CT_2   N      CT_3     	   -1.7369980880  	1.2510014340      -3.5009990440      0.00000   
  C_3    CT_2   NT     CT_3     	   -1.7369980880  	1.2510014340      -3.5009990440      0.00000   
  C      CT     CT     CT_2     	   -1.6970028681  	-0.4559990440      0.5850000000      0.00000   
  C      CT_2   CT     S        	   -4.3440009560  	-1.7140009560      0.0000000000      0.00000   
  C      CT_2   CT     C*       	   -1.6970028681  	-0.4559990440      0.5850000000      0.00000   
  C      CT_2   CT     C_3      	   -1.6970028681  	-0.4559990440      0.5850000000      0.00000   
  C      CT_2   CT     CA       	   -1.6970028681  	-0.4559990440      0.5850000000      0.00000   
  C      CT_2   CT     CT       	   -1.6970028681  	-0.4559990440      0.5850000000      0.00000   
  C      CT_2   CT     CV       	   -1.6970028681  	-0.4559990440      0.5850000000      0.00000   
  C      CT_2   CT     CW       	   -1.6970028681  	-0.4559990440      0.5850000000      0.00000   
  C      CT_2   CT     CX       	   -1.6970028681  	-0.4559990440      0.5850000000      0.00000   
  C      CT_2   CT     HC       	   0.0000047801  	0.0000000000      -0.0759990440      0.00000   
  C      CT_2   CT     OH       	   -5.6539961759  	-0.8720004780      0.0000000000      0.00000   
  C_3    CT_2   CT     OH       	   -5.6539961759  	-0.8720004780      0.0000000000      0.00000   
  C      CT_2   CT     SH       	   -4.3440009560  	-1.7140009560      0.0000000000      0.00000   
  C      CT_2   N3     H3       	   0.0000023901  	0.0000000000      0.3470004780       0.00000   
  C_3    CT_2   N3     H3       	   0.0000023901  	0.0000000000      0.3470004780       0.00000   
  C      CT_2   N3     CT_3     	   -1.7369980880  	1.2510014340      -3.5009990440      0.00000   
  C      CT_2   NT     CT_3     	   -1.7369980880  	1.2510014340      -3.5009990440      0.00000   
  C*     CT     CT     HC       	   -0.0000011950  	0.0000000000      0.4619992830       0.00000   
  C*     CT     CT_2   N        	   0.8450011950  	-0.9620004780      0.7130007170      0.00000   
  C*     CT     CT_2   HC       	   -0.0000011950  	0.0000000000      0.4619992830       0.00000   
  C*     CT     CT_2   N3       	   0.8450011950  	-0.9620004780      0.7130007170      0.00000   
  C*     CW     NA     H        	   0.0000000000  	3.0000000000      0.0000000000       0.00000   
  C*     CW     NA     CN       	   0.0000000000  	3.0000000000      0.0000000000       0.00000   
