#  i    j    k  func       th0       cth
  HW     OW     HW      1   109.500    627.600   
  HW     OW     LP      1    54.750    418.400   
  OU     U      OU      1   180.000   1255.200   
  HC     C*     CW      1   126.800    292.880   
  HC     C*     CB      1   126.800    292.880   
  HC     CS     CW      1   126.800    292.880   
  HC     CS     CB      1   126.800    292.880   
  HA     CA     CW      1   126.900    292.880   
  HC     C=     CW      1   122.000    292.880   
  HA     CW     CA      1   130.700    292.880   
  HA     CW     C=      1   130.700    292.880   
  HA     CW     NA      1   121.600    292.880   
  CT     CW     NA      1   121.600    585.760   
  C!     CW     NA      1   121.600    585.760   
  CT     CW     OS      1   121.600    585.760   
  C!     CW     OS      1   121.600    585.760   
  CA     CW     NA      1   121.600    585.760   
  HA     CW     CV      1   130.700    292.880   
  HA     CV     CW      1   128.200    292.880   
  HC     CT     CZ      1   108.500    292.880   
  CT     CT     CR      1   114.000    527.184   
  CT     CT     CZ      1   112.700    488.273   
  CT     CZ     CZ      1   180.000   1255.200   
  CA     CZ     CZ      1   180.000   1338.880   
  HC     CZ     CZ      1   180.000    937.216   
  CA     CA     CZ      1   120.000    585.760   
  CA     CA     CR      1   120.000    527.184   
  CA     CA     CX      1   120.000    711.280   
  CA     CR     NB      1   111.000    585.760   
  CT     CZ     NZ      1   180.000   1255.200   
  N2     CZ     NZ      1   180.000   1255.200   
  CA     CZ     NZ      1   180.000   1255.200   
  CT     CX     NA      1   121.600    585.760   
  HA     CX     CX      1   130.700    292.880   
  CX     CX     NA      1   106.300    585.760   
  CX     NA     CR      1   109.800    585.760   
  C3     C      N       1   116.600    585.760   
  C3     C      O       1   120.400    669.440   
  C3     C      O_2     1   120.400    669.440   
  C3     C      O_3     1   120.400    669.440   
  C3     C_2    O_2     1   120.400    669.440   
  C3     C_3    O2      1   117.000    585.760   
  CA     C      CA      1   120.000    711.280   
  CA     C_2    CA      1   120.000    711.280   
  CA     C      OH      1   120.000    585.760   
  CA     CA     O       1   120.000    585.760   
  CA     CA     OH      1   120.000    585.760   
  CA     CA     SH      1   120.000    585.760   
  CA     CA     OS      1   120.000    585.760   
  CM     CM     OS      1   123.000    585.760   
  C=     CM     OS      1   123.000    585.760   
  CM     CM     OH      1   123.000    585.760   
  C=     CM     OH      1   123.000    585.760   
  CB     C      NA      1   111.300    585.760   
  CB     C_2    NA      1   111.300    585.760   
  CB     C      O       1   128.800    669.440   
  CB     C      O_2     1   128.800    669.440   
  CB     C      O_3     1   128.800    669.440   
  CB     C_2    O_2     1   128.800    669.440   
  CB     C      N       1   111.300    585.760   
  CS     C      O       1   128.200    669.440   
  CS     C      O_2     1   128.200    669.440   
  CS     C      O_3     1   128.200    669.440   
  CS     C_2    O_2     1   128.200    669.440   
  CM     C      NA      1   114.100    585.760   
  CM     C_2    NA      1   114.100    585.760   
  CM     C      O       1   125.300    669.440   
  CM     C      O_2     1   125.300    669.440   
  CM     C      O_3     1   125.300    669.440   
  CM     C_2    O_2     1   125.300    669.440   
  CM     C      C       1   117.200    669.440   
  CM     C      C_2     1   117.200    669.440   
  CM     C      C_3     1   117.200    669.440   
  CM     C_2    C       1   117.200    669.440   
  CM     C_2    C_2     1   117.200    669.440   
  CM     C_2    C_3     1   117.200    669.440   
  CM     C      OH      1   108.000    585.760   
  C=     C      O       1   124.000    669.440   
  C=     C      O_2     1   124.000    669.440   
