# i    j  func       b0          kb
  OW    HW      1    0.09572   502080.0   
  OW    LP      1    0.01750   753120.0   
  C*    HC      1    0.10800   284512.0   
  C     C3      1    0.15220   265265.6   
  C_2   C3      1    0.15220   265265.6   
  C_3   C3      1    0.15220   265265.6   
  C     CA      1    0.14900   334720.0   
  C_2   CA      1    0.14900   334720.0   
  C_3   CA      1    0.14900   334720.0   
  C     CB      1    0.14190   374049.6   
  C_2   CB      1    0.14190   374049.6   
  C_3   CB      1    0.14190   374049.6   
  C     CM      1    0.14440   343088.0   
  C_2   CM      1    0.14440   343088.0   
  C_3   CM      1    0.14440   343088.0   
  C     CS      1    0.14900   334720.0   
  C_2   CS      1    0.14900   334720.0   
  C_3   CS      1    0.14900   334720.0   
  C     CT      1    0.15220   265265.6   
  C_2   CT      1    0.15220   265265.6   
  C_3   CT      1    0.15220   265265.6   
  C     CT_2    1    0.15220   265265.6   
  C_3   CT_2    1    0.15220   265265.6   
  C     N       1    0.13350   410032.0   
  C_2   N       1    0.13350   410032.0   
  C_3   N       1    0.13350   410032.0   
  C     N*      1    0.13830   354803.2   
  C_2   N*      1    0.13830   354803.2   
  C_3   N*      1    0.13830   354803.2   
  C     NA      1    0.13880   349782.4   
  C_2   NA      1    0.13880   349782.4   
  C_3   NA      1    0.13880   349782.4   
  C     NC      1    0.13580   382417.6   
  C_2   NC      1    0.13580   382417.6   
  C_3   NC      1    0.13580   382417.6   
  C     O       1    0.12290   476976.0   
  C     O_2     1    0.12290   476976.0   
  C     O_3     1    0.12290   476976.0   
  C_2   O_2     1    0.12290   476976.0   
  C     O2      1    0.12500   548940.8   
  C_3   O2      1    0.12500   548940.8   
  C     OH      1    0.13640   376560.0   
  NO    ON      1    0.12250   460240.0   
  CT    NO      1    0.14900   313800.0   
  CA    NO      1    0.14600   334720.0   
  CA    OH      1    0.13640   376560.0   
  CA    OS      1    0.13640   376560.0   
  CB    OS      1    0.13600   284512.0   
  CM    OS      1    0.13700   376560.0   
  CM    OH      1    0.13700   376560.0   
  CA    O       1    0.13640   376560.0   
  CA    O_2     1    0.13640   376560.0   
  C     OS      1    0.13270   179075.2   
  C_2   OS      1    0.13270   179075.2   
  C*    CB      1    0.14590   324678.4   
  C*    CT      1    0.14950   265265.6   
  CU    CT      1    0.15100   265265.6   
  CR    CT      1    0.15100   265265.6   
  CS    CT      1    0.14950   265265.6   
  C*    CW      1    0.13520   456892.8   
  CA    CR      1    0.13670   456892.8   
  CA    CS      1    0.14240   392459.2   
  CA    CW      1    0.13670   456892.8   
  CQ    O       1    0.13640   376560.0   
  CQ    O_2     1    0.13640   376560.0   
  CS    CW      1    0.13670   456892.8   
  CS    CS      1    0.14240   392459.2   
  CS    CB      1    0.14240   392459.2   
  CS    HA      1    0.10800   307105.6   
  CU    NB      1    0.13200   343088.0   
  CU    CA      1    0.14210   392459.2   
  CU    HA      1    0.10800   307105.6   
  NA    NB      1    0.13490   334720.0   
  OS    NB      1    0.13990   386601.6   
  OS    CR      1    0.13570   386601.6   
  C3    C3      1    0.15260   217568.0   
  C3    NT      1    0.14480   319657.6   
  CT    NT      1    0.14480   319657.6   
  NT    NT      1    0.14450   292880.0   
  CO    OS      1    0.13800   267776.0   
  CO    C3      1    0.15260   217568.0   
  CW    OS      1    0.13600   284512.0   
  C3    CM      1    0.15100   265265.6   
  C3    N       1    0.14490   282001.6   
  C3    N*      1    0.14750   282001.6   
  C3    N2      1    0.14630   282001.6   
  C3    N3      1    0.14710   307105.6   
  C3    OH      1    0.14250   323004.8   
  C3    OS      1    0.14250   267776.0   
  C3    S       1    0.18100   185769.6   
  C3    SH      1    0.18100   185769.6   
  CA    CA      1    0.14000   392459.2   
  CA    C!      1    0.14000   392459.2   
  C!    C!      1    0.14600   322168.0   
  C!    CS      1    0.14600   322168.0   
  C!    CU      1    0.14600   322168.0   
  C!    CV      1    0.14600   322168.0   
  C!    CW      1    0.14600   322168.0   
  C!    CR      1    0.14600   322168.0   
  C!    C       1    0.14600   322168.0   
  C!    C_2     1    0.14600   322168.0   
  C!    C_3     1    0.14600   322168.0   
  C!    CM      1    0.14600   322168.0   
  C!    NA      1    0.14400   322168.0   
  CA    CB      1    0.14040   392459.2   
  CA    CM      1    0.14330   357313.6   
  CA    CN      1    0.14000   392459.2   
  CA    CT      1    0.15100   265265.6   
  CA    CY      1    0.14900   265265.6   
  CW    CT      1    0.15040   265265.6   
  CV    CT      1    0.15040   265265.6   
  CX    CT      1    0.15040   265265.6   
  CX    CA      1    0.15040   265265.6   
  CX    CX      1    0.13700   435136.0   
  CX    NA      1    0.13810   357313.6   
  CX    HA      1    0.10800   307105.6   
  CA    NY      1    0.13850   319657.6   
  CA    NZ      1    0.12610   418400.0   
  NY    H       1    0.10100   363171.2   
  NY    H3      1    0.10100   363171.2   
  NZ    H       1    0.10100   363171.2   
  NZ    H3      1    0.10100   363171.2   
  CT    NY      1    0.14480   319657.6   
  CA    N2      1    0.13400   402500.8   
  CQ    N2      1    0.13400   402500.8   
  CR    N2      1    0.13400   402500.8   
  CA    NT      1    0.13400   402500.8   
  CA    NA      1    0.13810   357313.6   
  CQ    N       1    0.13810   357313.6   
  CA    NC      1    0.13390   404174.4   
  C!    NC      1    0.13390   404174.4   
  NC    NC      1    0.13200   418400.0   
  NC    NZ      1    0.12400   460240.0   
  NZ    NZ      1    0.11200   460240.0   
  CA    HA      1    0.10800   307105.6   
  CB    CB      1    0.13700   435136.0   
  CR    CS      1    0.13700   435136.0   
  CV    CW      1    0.13700   435136.0   
  CB    CN      1    0.14190   374049.6   
  CB    N*      1    0.13740   364844.8   
  CB    NA      1    0.13740   364844.8   
  CB    NB      1    0.13910   346435.2   
  CB    NC      1    0.13540   385764.8   
  CR    NC      1    0.13540   385764.8   
  CW    CW      1    0.13750   428441.6   
  CK    HA      1    0.10800   284512.0   
  CK    H5      1    0.10800   307105.6   
  CK    N*      1    0.13710   368192.0   
  CK    NA      1    0.13710   368192.0   
  CK    NB      1    0.13040   442667.2   
  CM    CM      1    0.13400   459403.2   
  CM    C=      1    0.13400   459403.2   
  CW    C=      1    0.13650   459403.2   
  C=    C=      1    0.14600   322168.0   
  C     C       1    0.15100   292880.0   
  C     C_2     1    0.15100   292880.0   
  C     C_3     1    0.15100   292880.0   
  C=    C       1    0.14600   322168.0   
  C=    C_2     1    0.14600   322168.0   
  C=    C_3     1    0.14600   322168.0   
  CT    C+      1    0.14600   445847.0   
  C+    HC      1    0.10840   445847.0   
  CM    CT      1    0.15100   265265.6   
  C=    CT      1    0.15100   265265.6   
  CM    HC      1    0.10800   284512.0   
  CM    H4      1    0.10800   307105.6   
  C=    HC      1    0.10800   284512.0   
  HC    C       1    0.10900   284512.0   
  HC    C_2     1    0.10900   284512.0   
  HC    C_3     1    0.10900   284512.0   
  CT    CZ      1    0.14700   326352.0   
  CA    CZ      1    0.14510   334720.0   
  CY    CZ      1    0.14510   334720.0   
  CZ    NZ      1    0.11570   543920.0   
  CZ    CZ      1    0.12100   962320.0   
  HC    CZ      1    0.10800   351456.0   
  CM    N*      1    0.13650   374886.4   
  CM    NA      1    0.13650   374886.4   
  CN    NA      1    0.13800   358150.4   
  CQ    HA      1    0.10800   307105.6   
  CQ    H5      1    0.10800   307105.6   
  CQ    NC      1    0.13240   420073.6   
  CR    HA      1    0.10800   307105.6   
  CR    H5      1    0.10800   307105.6   
  CR    NA      1    0.13430   399153.6   
  CR    NB      1    0.13350   408358.4   
  CT    CT      1    0.15290   224262.4   
  CT    CT_2    1    0.15290   224262.4   
  CT    CT_3    1    0.15290   224262.4   
  CT    CT_4    1    0.15290   224262.4   
  CT    HC      1    0.10900   284512.0   
  CT_2  HC      1    0.10900   284512.0   
  CT_3  HC      1    0.10900   284512.0   
  CT_4  HC      1    0.10900   284512.0   
  CT_3  N       1    0.14490   282001.6   
  CT_3  NT      1    0.14490   282001.6   
  CT    N       1    0.14490   282001.6   
  CT_2  N       1    0.14490   282001.6   
  CT_2  NT      1    0.14480   319657.6   
  CT    NC      1    0.14490   282001.6   
  CY    N       1    0.14490   282001.6   
  CT    N*      1    0.14750   282001.6   
  CT    NA      1    0.14750   282001.6   
  CT    N2      1    0.14630   282001.6   
  CT    N3      1    0.14710   307105.6   
  CT_2  N3      1    0.14710   307105.6   
  CT_3  N3      1    0.14710   307105.6   
  CT    OH      1    0.14100   267776.0   
  CT_4  OH      1    0.14100   267776.0   
  NT    OH      1    0.14500   267776.0   
  NT    OS      1    0.14500   267776.0   
  N     OH      1    0.13800   334720.0   
  CT    OS      1    0.14100   267776.0   
  CT    S       1    0.18100   185769.6   
  CY    S       1    0.18100   185769.6   
  CR    S       1    0.17600   209200.0   
  CW    S       1    0.17400   209200.0   
  CA    SH      1    0.17400   209200.0   
  CT    SH      1    0.18100   185769.6   
  CT    Cl      1    0.17810   205016.0   
  CA    Cl      1    0.17250   251040.0   
  CM    Cl      1    0.17250   251040.0   
  C     Cl      1    0.17900   251040.0   
  C_2   Cl      1    0.17900   251040.0   
  C_3   Cl      1    0.17900   251040.0   
  CZ    Cl      1    0.16370   276144.0   
  CT    Br      1    0.19450   205016.0   
  CA    Br      1    0.18700   251040.0   
  CM    Br      1    0.19000   251040.0   
  C     Br      1    0.19800   251040.0   
  C_2   Br      1    0.19800   251040.0   
  C_3   Br      1    0.19800   251040.0   
  CZ    Br      1    0.17840   276144.0   
  CA    I       1    0.20800   230120.0   
  CV    HA      1    0.10800   307105.6   
  CV    H4      1    0.10800   307105.6   
  CV    NB      1    0.13940   343088.0   
  CW    NB      1    0.13940   343088.0   
  CW    H4      1    0.10800   307105.6   
  CW    HA      1    0.10800   307105.6   
  CW    NA      1    0.13810   357313.6   
  CW    N       1    0.13810   357313.6   
  CY    CY      1    0.15090   217568.0   
  CY    CT      1    0.15100   234304.0   
  CY    HC      1    0.10880   284512.0   
  H     N       1    0.10100   363171.2   
  H     N3      1    0.10100   363171.2   
  H     N*      1    0.10100   363171.2   
  H     N2      1    0.10100   363171.2   
  H     NA      1    0.10100   363171.2   
  H     NT      1    0.10100   363171.2   
  H3    N2      1    0.10100   363171.2   
  H3    N3      1    0.10100   363171.2   
  HO    OH      1    0.09450   462750.4   
  HO    OS      1    0.09450   462750.4   
  HS    SH      1    0.13360   229283.2   
  LP    S       1    0.06790   502080.0   
  LP    SH      1    0.06790   502080.0   
  O2    P       1    0.14800   439320.0   
  O     P       1    0.14800   439320.0   
  OH    P       1    0.16100   192464.0   
  OS    P       1    0.16100   192464.0   
  CT    P       1    0.18430   177401.6   
  CA    P       1    0.17800   184096.0   
  CT    P+      1    0.18200   177401.6   
  S     S       1    0.20380   138908.8   
  CT    C3      1    0.15260   217568.0   
  CA    NB      1    0.13910   346435.2   
  CA    N       1    0.13810   357313.6   
  CB    CT      1    0.15100   265265.6   
  CT    F       1    0.13320   307105.6   
  CA    F       1    0.13540   351456.0   
  CM    F       1    0.13400   351456.0   
  CZ    F       1    0.12790   376560.0   
  C     F       1    0.13570   351456.0   
  C_2   F       1    0.13570   351456.0   
  C_3   F       1    0.13570   351456.0   
  CT    CO      1    0.15290   224262.4   
  OH    CO      1    0.13800   267776.0   
  HC    CO      1    0.10900   284512.0   
  SY    C3      1    0.18100   185769.6   
  SY    CA      1    0.17700   284512.0   
  SY    OY      1    0.14400   585760.0   
  SZ    OY      1    0.15300   585760.0   
  SY    N       1    0.16700   363171.2   
  SY    CT      1    0.17700   284512.0   
  SZ    CT      1    0.17900   284512.0   
  U     OU      1    0.18000   418400.0   
  CA    S       1    0.17600   209200.0   
  CM    S       1    0.17600   209200.0   
  CM    CY      1    0.15100   265265.6   
  CY    NT      1    0.14480   319657.6   
  SY    NT      1    0.17700   284512.0   
  C     NT      1    0.15220   265265.6   
  C_2   NT      1    0.15220   265265.6   
  C_3   NT      1    0.15220   265265.6   
  C     CW      1    0.14900   334720.0   
  C_2   CW      1    0.14900   334720.0   
  C_3   CW      1    0.14900   334720.0   
  O2     S      1    0.153     400000.0
