816 1
# name         mass(gm/mol) 
 opls_001      12.01100  
 opls_002      15.99940  
 opls_003      14.00670  
 opls_004       1.00800  
 opls_005      14.02700  
 opls_006      13.01900  
 opls_007      15.03500  
 opls_008      13.01900  
 opls_009      14.02700  
 opls_010      15.03500  
 opls_011      12.01100  
 opls_012      14.00670  
 opls_013       1.00800  
 opls_014      13.01900  
 opls_015      14.02700  
 opls_016      14.02700  
 opls_017      12.01100  
 opls_018      15.99940  
 opls_019      14.02700  
 opls_020      14.00670  
 opls_021       1.00800  
 opls_022      14.02700  
 opls_023      15.99940  
 opls_024       1.00800  
 opls_025      13.01900  
 opls_026      12.01100  
 opls_027      14.02700  
 opls_028      14.02700  
 opls_029      13.01900  
 opls_030      13.01900  
 opls_031      14.02700  
 opls_032      32.06000  
 opls_033      1.00800   
 opls_034     14.02700   
 opls_035       32.06000 
 opls_036     15.03500   
 opls_037     14.02700   
 opls_038       32.06000 
 opls_039     15.03500   
 opls_040     14.00670   
 opls_041       1.00800  
 opls_042     14.00670   
 opls_043     12.01100   
 opls_044     12.01100   
 opls_045     12.01100   
 opls_046     14.00670   
 opls_047       1.00800  
 opls_048     12.01100   
 opls_049     12.01100   
 opls_050     12.01100   
 opls_051     14.00670   
 opls_052      1.00800   
 opls_053     12.01100   
 opls_054     14.00670   
 opls_055      1.00800   
 opls_056     14.02700   
 opls_057     14.02700   
 opls_058      12.01100  
 opls_059      15.99940  
 opls_060     13.01900   
 opls_061     14.02700   
 opls_062     15.99940   
 opls_063     15.03500   
 opls_064     12.01100   
 opls_065     15.03500   
 opls_066     16.04300   
 opls_067     15.03500   
 opls_068     15.03500   
 opls_069     15.03500   
 opls_070     15.03500   
 opls_071     14.02700   
 opls_072     14.02700   
 opls_073     13.01900   
 opls_074     13.01900   
 opls_075     13.01900   
 opls_076     12.01100   
 opls_077     12.01100   
 opls_078     15.99940   
 opls_079      1.00800   
 opls_080     15.03500   
 opls_081     14.02700   
 opls_082      32.06000  
 opls_083      32.06000  
 opls_084       32.06000 
 opls_085       32.06000 
 opls_086      1.00800   
 opls_087      1.00800   
 opls_088     15.03500   
 opls_089     14.02700   
 opls_090     15.03500   
 opls_091     14.02700   
 opls_092     15.03500   
 opls_093     14.02700   
 opls_094      14.00670  
 opls_095      12.01100  
 opls_096     15.03500   
 opls_097    39.94800    
 opls_098    83.79800    
 opls_099     131.29300  
 opls_101     14.00670   
 opls_102     14.00670   
 opls_103     14.00670   
 opls_104      1.00800   
 opls_105      1.00800   
 opls_106     15.03500   
 opls_107     15.03500   
 opls_108     15.99940   
 opls_109     15.03500   
 opls_110     14.02700   
 opls_111      9.95140   
 opls_112      4.03200   
 opls_113      9.95140   
 opls_114      4.03200   
 opls_115      0.00000   
 opls_116      9.95140   
 opls_117      4.03200   
 opls_111     15.99940   
 opls_112      1.00800   
 opls_113     15.99940   
 opls_114      1.00800   
 opls_115      0.00000   
 opls_116     15.99940   
 opls_117      1.00800   
 opls_118     15.99940   
 opls_118e    15.99940   
 opls_119      1.00800   
 opls_120      0.00000   
 opls_122     12.01100   
 opls_123      35.45300  
 opls_124       32.06000 
 opls_125     15.99940   
 opls_126     15.03500   
 opls_127     14.00670   
 opls_128       1.00800  
 opls_129      20.17970  
 opls_130      4.00260   
 opls_131      12.01100  
 opls_132     15.03500   
 opls_135     12.01100   
 opls_136     12.01100   
 opls_137     12.01100   
 opls_138     12.01100   
 opls_139     12.01100   
 opls_140      1.00800   
 opls_141     12.01100   
 opls_142     12.01100   
 opls_143     12.01100   
 opls_144      1.00800   
 opls_145     12.01100   
 opls_145B    12.01100   
 opls_146      1.00800   
 opls_147     12.01100   
 opls_148     12.01100   
 opls_149     12.01100   
 opls_150     12.01100   
 opls_151      35.45300  
 opls_152     12.01100   
 opls_153      1.00800   
 opls_154       15.99940 
 opls_155        1.00800 
 opls_156        1.00800 
 opls_157       12.01100 
 opls_158       12.01100 
 opls_159       12.01100 
 opls_160     12.01100   
 opls_161       12.01100 
 opls_162       15.99940 
 opls_163        1.00800 
 opls_164        18.99840
 opls_165     1.00800    
 opls_166    12.01100    
 opls_167   15.99940    -
 opls_168    1.00800     
 opls_169   15.99940    -
 opls_170    1.00800     
 opls_171   15.99940    -
 opls_172    1.00800     
 opls_173   12.01100     
 opls_174   12.01100     
 opls_175   12.01100     
 opls_176    1.00800     
 opls_178   12.01100     
 opls_179   15.99940    -
 opls_180   15.99940    -
 opls_181   12.01100     
 opls_182   12.01100     
 opls_183   12.01100     
 opls_184   12.01100     
 opls_185    1.00800     
 opls_186   15.99940    -
 opls_187   15.99940    -
 opls_188    1.00800     
 opls_189   12.01100     
 opls_190    1.00800     
 opls_191   12.01100     
 opls_192    1.00800     
 opls_193   12.01100     
 opls_194    1.00800     
 opls_195   12.01100     
 opls_196    1.00800     
 opls_197   12.01100     
 opls_198   12.01100     
 opls_199   12.01100     
 opls_200    32.06000    
 opls_201   32.06000    -
 opls_202    32.06000    
 opls_203    32.06000    
 opls_204    1.00800     
 opls_205    1.00800     
 opls_206     12.01100   
 opls_207     12.01100   
 opls_208     12.01100   
 opls_209     12.01100   
 opls_210     12.01100   
 opls_211     12.01100   
 opls_212     12.01100   
 opls_213     12.01100   
 opls_214     12.01100   
 opls_215     12.01100   
 opls_216     12.01100   
 opls_217     12.01100   
 opls_218     12.01100   
 opls_219     12.01100   
 opls_220     12.01100   
 opls_221     12.01100   
 opls_222     32.06000   
 opls_223    12.01100    
 opls_223B  12.01100     
 opls_224   12.01100     
 opls_224B  12.01100     
 opls_225   12.01100     
 opls_225B  12.01100     
 opls_226    35.45300    
 opls_227   12.01100     
 opls_228   12.01100     
 opls_229   12.01100     
 opls_230   12.01100     
 opls_231   12.01100     
 opls_232   12.01100     
 opls_233   12.01100     
 opls_234   12.01100     
 opls_235   12.01100     
 opls_236   15.99940    -
 opls_237   14.00670    -
 opls_238   14.00670    -
 opls_239   14.00670    -
 opls_240    1.00800     
 opls_241    1.00800     
 opls_242   12.01100     
 opls_243   12.01100    -
 opls_244   12.01100     
 opls_245   12.01100    -
 opls_246   12.01100     
 opls_247   12.01100     
 opls_248   15.99940    -
 opls_249   14.00670    -
 opls_250    1.00800     
 opls_251   14.00670    -
 opls_252   12.01100     
 opls_253   15.99940    -
 opls_254    1.00800     
 opls_255    1.00800     
 opls_256   12.01100    -
 opls_257   12.01100    -
 opls_258   12.01100     
 opls_259   12.01100     
 opls_260   12.01100     
 opls_261   12.01100     
 opls_262   14.00670    -
 opls_263   12.01100     
 opls_264    35.45300    
 opls_265   14.00670    -
 opls_266   12.01100     
