816  2
# name            epsilon(Kcal/mol)  sigma(Angstrom) 
 opls_001           0.10500          3.75000         
 opls_002           0.21000          2.96000         
 opls_003           0.17000          3.25000         
 opls_004           0.00000          0.00000         
 opls_005           0.11800          3.80000         
 opls_006           0.08000          3.80000         
 opls_007           0.16000          3.91000         
 opls_008           0.08000          3.85000         
 opls_009           0.11800          3.90500         
 opls_010           0.17500          3.90500         
 opls_011           0.11000          3.75000         
 opls_012           0.17000          3.25000         
 opls_013           0.00000          0.00000         
 opls_014           0.08000          3.80000         
 opls_015           0.11800          3.80000         
 opls_016           0.11800          3.90500         
 opls_017           0.10500          3.75000         
 opls_018           0.21000          2.96000         
 opls_019           0.11800          3.90500         
 opls_020           0.17000          3.25000         
 opls_021           0.00000          0.00000         
 opls_022           0.11800          3.90500         
 opls_023           0.17000          3.07000         
 opls_024           0.00000          0.00000         
 opls_025           0.08000          3.85000         
 opls_026           0.11000          3.75000         
 opls_027           0.11800          3.80000         
 opls_028           0.11800          3.80000         
 opls_029           0.08000          3.80000         
 opls_030           0.08000          3.80000         
 opls_031           0.11800          3.90500         
 opls_032           0.25000          3.55000         
 opls_033           0.00000          0.00000         
 opls_034           0.11800          3.80000         
 opls_035           0.25000          3.55000         
 opls_036           0.17000          3.80000         
 opls_037           0.11800          3.80000         
 opls_038           0.25000          3.55000         
 opls_039           0.17000          3.80000         
 opls_040           0.17000          3.25000         
 opls_041           0.00000          0.00000         
 opls_042           0.17000          3.25000         
 opls_043           0.14500          3.75000         
 opls_044           0.14500          3.75000         
 opls_045           0.14500          3.75000         
 opls_046           0.17000          3.25000         
 opls_047           0.00000          0.00000         
 opls_048           0.14500          3.75000         
 opls_049           0.14500          3.75000         
 opls_050           0.14500          3.75000         
 opls_051           0.17000          3.25000         
 opls_052           0.00000          0.00000         
 opls_053           0.05000          2.25000         
 opls_054           0.17000          3.25000         
 opls_055           0.00000          0.00000         
 opls_056           0.11800          3.90500         
 opls_057           0.11800          3.90500         
 opls_058           0.10500          3.75000         
 opls_059           0.21000          2.96000         
 opls_060           0.08000          3.80000         
 opls_061           0.11800          3.80000         
 opls_062           0.17000          3.00000         
 opls_063           0.17000          3.80000         
 opls_064           0.05000          3.80000         
 opls_065           0.14500          3.96000         
 opls_066           0.29400          3.73000         
 opls_067           0.20700          3.77500         
 opls_068           0.17500          3.90500         
 opls_069           0.16000          3.91000         
 opls_070           0.14500          3.96000         
 opls_071           0.11800          3.90500         
 opls_072           0.14000          3.85000         
 opls_073           0.08000          3.85000         
 opls_074           0.11500          3.80000         
 opls_075           0.11000          3.75000         
 opls_076           0.05000          3.80000         
 opls_077           0.10500          3.75000         
 opls_078           0.17000          3.07000         
 opls_079           0.00000          0.00000         
 opls_080           0.20700          3.77500         
 opls_081           0.11800          3.90500         
 opls_082           0.25000          3.70000         
 opls_083           0.25000          3.55000         
 opls_084           0.25000          3.55000         
 opls_085           0.25000          3.55000         
 opls_086           0.00000          0.00000         
 opls_087           0.00000          0.00000         
 opls_088           0.20700          3.77500         
 opls_089           0.11800          3.90500         
 opls_090           0.17000          3.80000         
 opls_091           0.11800          3.80000         
 opls_092           0.17000          3.80000         
 opls_093           0.11800          3.80000         
 opls_094           0.17000          3.20000         
 opls_095           0.15000          3.65000         
 opls_096           0.20700          3.77500         
 opls_097           0.23390          3.40100         
 opls_098           0.43300          3.93500         
 opls_099           0.00000          0.00000         
 opls_101           0.17000          3.25000         
 opls_102           0.17000          3.25000         
 opls_103           0.17000          3.25000         
 opls_104           0.00000          0.00000         
 opls_105           0.00000          0.00000         
 opls_106           0.20700          3.77500         
 opls_107           0.14500          3.96000         
 opls_108           0.17000          3.00000         
 opls_109           0.17000          3.80000         
 opls_110           0.11800          3.80000         
 opls_111           0.15210          3.15061         
 opls_112           0.00000          0.00000         
 opls_113           0.15500          3.15365         
 opls_114           0.00000          0.00000         
 opls_115           0.00000          0.00000
 opls_116           0.15540          3.16557         
 opls_117           0.00000          0.00000         
 opls_111           0.15210          3.15061         
 opls_112           0.00000          0.00000         
 opls_113           0.15500          3.15365         
 opls_114           0.00000          0.00000         
 opls_115           0.00000          0.00000
 opls_116           0.15540          3.16557         
 opls_117           0.00000          0.00000         
 opls_118           0.16000          3.12000         
 opls_118e          0.17800          3.09700         
 opls_119           0.00000          0.00000         
 opls_120           0.00000          0.00000
 opls_122           0.05000          3.80000         
 opls_123           0.26600          3.47000         
 opls_124           0.39500          3.56000         
 opls_125           0.28000          2.93000         
 opls_126           0.16000          3.81000         
 opls_127           0.17000          3.42000         
 opls_128           0.00000          0.00000         
 opls_129           0.06900          2.78000         
 opls_130           0.02000          2.55600         
 opls_131           0.11500          3.80000         
 opls_132           0.17000          3.80000         
 opls_135           0.06600          3.50000         
 opls_136           0.06600          3.50000         
 opls_137           0.06600          3.50000         
 opls_138           0.06600          3.50000         
 opls_139           0.06600          3.50000         
 opls_140           0.03000          2.50000         
 opls_141           0.07600          3.55000         
 opls_142           0.07600          3.55000         
 opls_143           0.07600          3.55000         
 opls_144           0.03000          2.42000         
 opls_145           0.07000          3.55000         
 opls_145B          0.07000          3.55000         
 opls_146           0.03000          2.42000         
 opls_147           0.07000          3.55000         
 opls_148           0.06600          3.50000         
 opls_149           0.06600          3.50000         
 opls_150           0.07600          3.55000         
 opls_151           0.30000          3.40000         
 opls_152           0.06600          3.50000         
 opls_153           0.03000          2.50000         
 opls_154           0.17000          3.12000         
 opls_155           0.00000          0.00000         
 opls_156           0.03000          2.50000         
 opls_157           0.06600          3.50000         
 opls_158           0.06600          3.50000         
 opls_159           0.06600          3.50000         
 opls_160           0.06600          3.50000         
 opls_161           0.06200          3.25000         
 opls_162           0.17000          3.07000         
 opls_163           0.00000          0.00000         
 opls_164           0.06100          2.94000         
 opls_165           0.03000          2.50000         
 opls_166           0.07000          3.55000         
 opls_167           0.17000          3.07000         
 opls_168           0.00000          0.00000         
 opls_169           0.17000          3.07000         
 opls_170           0.00000          0.00000         
 opls_171           0.17000          3.07000         
 opls_172           0.00000          0.00000         
 opls_173           0.06600          3.50000         
 opls_174           0.06600          3.50000         
 opls_175           0.06600          3.50000         
 opls_176           0.03000          2.50000         
 opls_178           0.07600          3.55000         
 opls_179           0.14000          2.90000         
 opls_180           0.14000          2.90000         
 opls_181           0.06600          3.50000         
 opls_182           0.06600          3.50000         
 opls_183           0.06600          3.50000         
 opls_184           0.06600          3.50000         
